# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22705
#@/user_id	11b0f9ec-6c9a-4124-8c37-c6e1e2ec6fbd
a 	啊	c=136 d=1 t=22529
xian zhi 	限制	c=2 d=1.7788 t=10546
xian zhu 	顯著	c=6 d=1.01499 t=22370
xian zhuang 	現狀	c=1 d=1 t=20460
xian zuo 	先做	c=1 d=1 t=3232
xiang 	像	c=10 d=1 t=18545
xiang 	向	c=9 d=1 t=22597
xiang 	想	c=20 d=3.27027 t=17666
xiang 	相	c=0 d=0.1 t=15178
xiang 	箱	c=0 d=0.1 t=6944
xiang 	襄	c=1 d=1 t=6749
xiang 	象	c=1 d=1 t=15927
xiang ba 	想把	c=1 d=1 t=4449
xiang bei 	相悖	c=1 d=1 t=15511
xiang bi 	想必	c=2 d=1.27943 t=15043
xiang bi 	相比	c=4 d=1 t=19246
xiang bu chu 	想不出	c=1 d=1 t=763
xiang dang yu 	相當於	c=6 d=1.20863 t=17463
xiang dui 	相對	c=1 d=1 t=20471
xiang dui jian kang 	相對健康	c=1 d=1 t=10704
xiang dui yu 	相對於	c=1 d=1 t=22630
xiang fa 	想法	c=4 d=1 t=16732
xiang fa hai shi 	想法還是	c=1 d=1 t=6710
xiang fan 	相反	c=3 d=1.0293 t=15418
xiang gan 	相干	c=1 d=1 t=6149
xiang guan 	相關	c=5 d=1.00009 t=21191
xiang guan zhi du 	相關制度	c=1 d=1 t=19791
xiang hao 	想好	c=0 d=0.1 t=634
xiang hao le 	想好了	c=1 d=1 t=635
xiang hu 	相互	c=0 d=0.1 t=3886
xiang hu gong ji 	相互攻擊	c=1 d=1 t=3887
xiang lai 	想來	c=1 d=1 t=19512
xiang liang 	向量	c=6 d=4.67625 t=17664
xiang lin 	相鄰	c=1 d=1 t=8957
xiang mai 	想買	c=2 d=1.26054 t=2741
xiang mu 	項目	c=4 d=1.98611 t=8591
xiang ni 	向你	c=1 d=1 t=4614
xiang qi lai 	想起來	c=1 d=1 t=836
xiang qu 	想去	c=1 d=1 t=4030
xiang rong 	相容	c=2 d=1.10712 t=11027
xiang ru yi mo 	相濡以沫	c=1 d=1 t=12686
xiang shou 	享受	c=1 d=1 t=2703
xiang shuo 	想說	c=1 d=1 t=4850
xiang tong 	相同	c=4 d=1.21438 t=21691
xiang wai 	向外	c=1 d=1 t=9946
xiang wen he 	相吻合	c=1 d=1 t=18713
xiang xi 	詳細	c=2 d=0.100013 t=16364
xiang xi bu zhou 	詳細步驟	c=1 d=1 t=16365
xiang xiang 	想想	c=1 d=1 t=19657
xiang xiang 	想象	c=1 d=1 t=18768
xiang xiang li 	想象力	c=1 d=1 t=5458
xiang xin 	相信	c=3 d=1.01773 t=19747
xiang ya ta 	象牙塔	c=1 d=1 t=15858
xiang yao 	想要	c=3 d=0.1 t=22214
xiang yao zai 	想要在	c=1 d=1 t=22215
xiang ying 	相應	c=8 d=1.06666 t=22261
xiang ying fang shi 	相應方式	c=1 d=1 t=22262
xiang yong 	想用	c=1 d=1 t=603
xiang yu 	項羽	c=2 d=1.956 t=11903
xiang zhe 	想着	c=2 d=1 t=5871
xiao 	孝	c=0 d=0.1 t=13925
xiao 	小	c=6 d=1.00887 t=16221
xiao 	笑	c=2 d=1 t=13465
xiao ba xi 	小把戲	c=1 d=1 t=6540
xiao cha 	小差	c=0 d=0.1 t=8284
xiao cha jiu 	小差就	c=1 d=1 t=8285
xiao chu 	消除	c=1 d=1 t=4039
xiao chu fang 	小廚房	c=1 d=1 t=9764
xiao chu luan ma 	消除亂碼	c=1 d=1 t=1626
xiao fei 	消費	c=1 d=1 t=22642
xiao fei e 	消費額	c=0 d=0.1 t=22474
xiao fei e zhe 	消費額這	c=1 d=1 t=22475
xiao fei zhe 	消費者	c=107 d=6.73157 t=22653
xiao gong ju 	小工具	c=1 d=1 t=9894
xiao hao 	消耗	c=1 d=1 t=12442
xiao he 	蕭何	c=1 d=1 t=13198
xiao hua 	笑話	c=1 d=1 t=7581
xiao long 	小龍	c=0 d=0.1 t=4692
xiao long ren 	小龍人	c=1 d=1 t=4693
xiao lv 	效率	c=6 d=1.20373 t=11439
xiao nv hai 	小女孩	c=1 d=1 t=19469
xiao quan quan 	小圈圈	c=1 d=1 t=18437
xiao sheng 	消聲	c=1 d=1 t=1807
xiao shou 	銷售	c=2 d=1.00045 t=11312
xiao shu 	小鼠	c=1 d=1 t=4193
xiao shuo 	小說	c=2 d=1.13946 t=4229
xiao song 	小宋	c=2 d=1.83527 t=13721
xiao wang zi 	小王子	c=2 d=1 t=16219
xiao wen di 	孝文帝	c=2 d=1.05004 t=13702
xiao wu di 	孝武帝	c=1 d=1 t=13926
xiao xi 	消息	c=1 d=1 t=21490
xiao xiang mu 	小項目	c=1 d=1 t=1013
xiao xie 	小寫	c=2 d=1.98511 t=5545
xiao yi 	小一	c=0 d=0.1 t=6475
xiao yi hao 	小一號	c=1 d=1 t=6476
xiao ying 	效應	c=4 d=2.72218 t=11558
xiao yu 	小於	c=1 d=1 t=17602
xiao zao 	小竈	c=1 d=1 t=12049
xiao zhong 	小衆	c=1 d=1 t=3567
xiao zu 	小組	c=1 d=1 t=4917
xie 	些	c=4 d=0.611709 t=20961
xie 	寫	c=54 d=1.03549 t=19408
xie cheng 	寫成	c=1 d=1 t=5525
xie cheng 	攜程	c=3 d=1.9802 t=11840
xie chu lai 	寫出來	c=2 d=1 t=16785
xie dao 	寫道	c=1 d=1 t=18791
xie de 	寫的	c=3 d=2.05506 t=1600
xie fa 	寫法	c=2 d=1 t=19713
xie ge 	寫個	c=1 d=1 t=5396
xie guo 	寫過	c=1 d=1 t=14295
xie hao 	寫好	c=0 d=0.1 t=9109
xie hao le 	寫好了	c=1 d=1 t=9110
xie le 	寫了	c=10 d=2.12782 t=17286
xie ren 	卸任	c=1 d=1 t=6805
xie shang qu 	寫上去	c=1 d=1 t=16546
xie wan 	寫完	c=1 d=0.100175 t=7475
xie wan zhi hou 	寫完之後	c=1 d=1 t=7476
xie xie 	謝謝	c=3 d=1 t=5919
xie yi 	協議	c=2 d=1.97531 t=5275
xie yi 	謝意	c=1 d=1 t=227
xie yi ge 	寫一個	c=2 d=1.5627 t=5402
xie you jian 	寫郵件	c=1 d=1 t=17892
xie zai 	卸載	c=2 d=0.1 t=7388
xie zai diao 	卸載掉	c=1 d=1 t=7389
xie zhe 	寫着	c=1 d=1 t=7775
xie zi 	鞋子	c=1 d=1 t=2863
xie zuo 	寫作	c=11 d=1.00065 t=9872
xin 	信	c=6 d=1 t=18550
xin 	心	c=3 d=1.26855 t=14681
xin 	新	c=11 d=1.23131 t=17018
xin cheng li 	信成立	c=1 d=1 t=9709
xin de 	新的	c=2 d=1 t=12669
xin gong neng 	新功能	c=1 d=1 t=1051
xin gu dian 	新古典	c=1 d=1 t=11634
xin jian 	信件	c=2 d=1.00795 t=5404
xin jian 	新建	c=1 d=1 t=1091
xin jing dan zhan 	心驚膽戰	c=1 d=1 t=1404
xin jiu 	新舊	c=1 d=1 t=2634
xin ku 	辛苦	c=1 d=1 t=2909
xin lai 	信賴	c=1 d=1 t=20096
xin li 	信裏	c=1 d=1 t=16619
xin li 	心理	c=1 d=1 t=3998
xin li xue 	心理學	c=0 d=0.1 t=22302
xin li xue shang jiang 	心理學上講	c=1 d=1 t=22303
xin ling 	心靈	c=1 d=1 t=14089
xin mu zhong 	心目中	c=2 d=1 t=18537
xin nian 	新年	c=1 d=1 t=2843
xin niang 	新娘	c=1 d=1 t=17389
xin ren 	信任	c=1 d=1 t=20223
xin ren du 	信任度	c=2 d=1.1979 t=20433
xin shou ji 	新手機	c=0 d=0.1 t=8504
xin shui 	薪水	c=1 d=1 t=11009
xin si 	心思	c=1 d=1 t=203
xin wen 	新聞	c=4 d=3.86399 t=21511
xin xi 	信息	c=13 d=1.13949 t=22072
xin xi bu dui chen 	信息不對稱	c=2 d=1.19205 t=11146
xin xi bu dui cheng 	信息不對稱	c=1 d=1 t=10762
xin xiang 	信箱	c=9 d=1 t=22559
xin xiang 	心想	c=1 d=1 t=1227
xin yang 	信仰	c=2 d=0.1 t=14069
xin yang de ti xi 	信仰的體系	c=1 d=1 t=14070
xin yi 	心意	c=1 d=1 t=272
xin yi 	新意	c=1 d=1 t=16443
xin yong 	信用	c=1 d=1 t=11663
xin yue 	新約	c=1 d=1 t=16000
xin zeng jia 	新增加	c=1 d=1 t=1794
xin zhong 	心中	c=1 d=1 t=19695
xing 	性	c=10 d=1.01135 t=16203
xing 	興	c=1 d=1 t=12588
xing 	行	c=2 d=1 t=14498
xing bie 	性別	c=1 d=1 t=19982
xing cai 	星彩	c=1 d=1.09005 t=19688
xing cheng 	形成	c=1 d=1 t=22087
xing cheng le 	形成了	c=2 d=1 t=20416
xing dong 	行動	c=1 d=1 t=5785
xing fa 	刑罰	c=1 d=1 t=12503
xing fen 	興奮	c=1 d=1 t=6427
xing ge 	性格	c=2 d=1.00006 t=14626
xing guang 	星光	c=2 d=1.99005 t=19710
xing hao 	型號	c=2 d=1 t=13715
xing hao 	幸好	c=3 d=1 t=19474
xing jing 	行徑	c=1 d=1 t=19464
xing li 	行李	c=1 d=1 t=11833
xing mian 	倖免	c=1 d=1 t=12699
xing qi 	星期	c=1 d=1 t=2958
xing qi 	興起	c=1 d=1 t=15313
xing qi tian 	星期天	c=1 d=1 t=2830
xing qiu 	星球	c=1 d=1 t=16228
xing qiu da zhan 	星球大戰	c=4 d=1.98511 t=16204
xing rong 	形容	c=1 d=1 t=19267
xing shi 	形式	c=2 d=1 t=4852
xing shi 	行使	c=1 d=1 t=11708
xing wang 	興亡	c=1 d=1 t=6294
xing wang 	興旺	c=1 d=1 t=6293
xing wei 	行爲	c=21 d=1.28942 t=22609
xing wei zhong 	行爲中	c=2 d=1 t=20353
xing wen 	行文	c=1 d=1 t=19352
xing xiang 	形象	c=12 d=3.25186 t=22563
xing xing 	星星	c=1 d=1 t=2848
xing yun 	幸運	c=1 d=1 t=12293
xing zheng 	行政	c=0 d=0.1 t=7850
xing zheng shang 	行政上	c=1 d=1 t=7851
xing zhuang 	形狀	c=0 d=0.1 t=5380
xing zhuang yi yang 	形狀一樣	c=1 d=1 t=5381
xiong 	熊	c=3 d=1 t=21735
xiong cai da lve 	雄才大略	c=1 d=1 t=13338
xiong nu 	匈奴	c=3 d=1.12938 t=13344
xiong shou 	兇手	c=1 d=1 t=16195
xiong wen 	胸文	c=1 d=1 t=15214
xiong zhuang 	雄壯	c=0 d=0.1 t=19232
xiong zhuang wei meng 	雄壯威猛	c=2 d=1.86936 t=19261
xiu gai 	修改	c=17 d=1.12873 t=16991
xiu shi 	修飾	c=1 d=1 t=15837
xiu xi 	休息	c=2 d=1 t=8404
xu 	須	c=1 d=1 t=18500
xu chang 	許昌	c=3 d=2.87416 t=19553
xu chu 	徐出	c=1 d=1 t=5854
xu chu 	許出	c=1 d=1 t=5842
xu dian chi 	蓄電池	c=1 d=1 t=21730
xu fei 	續費	c=0 d=0.1 t=4950
xu ming 	徐明	c=1 d=1 t=6767
xu ni 	虛擬	c=2 d=1 t=17037
xu ni ji 	虛擬機	c=1 d=1 t=16164
xu qiu 	需求	c=5 d=1.00025 t=22129
xu shi 	敘事	c=1 d=0.453455 t=14640
xu shi jian chang 	敘事見長	c=1 d=1 t=14641
xu yao 	需要	c=32 d=1 t=21094
xu yao yong 	需要用	c=0 d=0.1 t=7603
xuan 	宣	c=2 d=1 t=12587
xuan 	選	c=3 d=1 t=16653
xuan ding 	選定	c=2 d=1.94066 t=10554
xuan ding le 	選定了	c=1 d=1 t=10207
xuan wang 	宣王	c=1 d=1 t=11842
xuan xie 	宣泄	c=1 d=1 t=4102
xuan ze 	選擇	c=25 d=1.85262 t=21479
xuan ze mian 	選擇麪	c=1 d=1 t=525
xue 	學	c=10 d=0.100005 t=18389
xue 	薛	c=2 d=1.99005 t=3544
xue 	雪	c=2 d=1.9802 t=2662
xue bu hui 	學不會	c=1 d=1 t=18390
xue cheng 	學成	c=1 d=1 t=4293
xue de 	學得	c=1 d=1 t=6674
xue jin qu 	學進去	c=1 d=1 t=8690
xue ke 	學科	c=1 d=1 t=11200
xue le 	削了	c=1 d=1 t=11971
xue li 	學歷	c=2 d=1 t=19989
xue shan 	雪山	c=0 d=0.1 t=18451
xue shan fei hu 	雪山飛狐	c=2 d=1.99501 t=18453
xue shang jia shuang 	雪上加霜	c=1 d=1 t=12319
xue sheng 	學生	c=8 d=1.96079 t=14942
xue sheng zheng 	學生證	c=1 d=1 t=11399
xue shu 	學術	c=11 d=1.0683 t=21099
xue shu 	血書	c=1 d=1 t=15292
xue shu de 	學術的	c=1 d=1 t=21100
xue xi 	學習	c=10 d=1.97074 t=11446
xue xiao 	學校	c=4 d=1.00005 t=8756
xue xiao li 	學校裏	c=0 d=0.1 t=12559
xue xiao li ma 	學校裏嗎	c=1 d=1 t=12560
xue xing 	血腥	c=0 d=0.1 t=13794
xue xing cheng du 	血腥程度	c=1 d=1 t=13795
xue zhe 	學者	c=6 d=1.49908 t=20592
xun 	訓	c=2 d=1.98511 t=11849
xun fu 	巡撫	c=1 d=1 t=9820
xun huan 	循環	c=16 d=1.79453 t=17621
xun huan bu dao 	循環不到	c=1 d=1 t=2103
xun lei 	迅雷	c=9 d=1 t=15976
xun lei xia zai 	迅雷下載	c=1 d=1 t=94
xun lian 	訓練	c=1 d=1 t=8494
xun zhao 	尋找	c=1 d=1 t=8637
xun zi 	荀子	c=1 d=1 t=14315
ya 	亞	c=1 d=1 t=19242
ya 	呀	c=1 d=1 t=2754
ya 	牙	c=4 d=1.00112 t=4993
ya dang si mi 	亞當斯密	c=2 d=1 t=20727
ya gen 	壓根	c=1 d=1 t=4456
ya li 	壓力	c=1 d=1 t=6179
ya ma xun 	亞馬遜	c=1 d=1 t=5628
ya shuang 	呀爽	c=1 d=1 t=3000
ya si 	雅思	c=12 d=2.95608 t=17263
ya song 	押送	c=1 d=1 t=13193
ya yu 	亞於	c=2 d=1.97531 t=19239
ya zhou 	壓軸	c=2 d=1 t=17127
yan 	演	c=2 d=1.09976 t=15517
yan 	燕	c=1 d=1 t=18496
yan an 	延安	c=1 d=1 t=4046
yan cao 	菸草	c=1 d=1 t=21966
yan ge 	嚴格	c=5 d=1.82283 t=13885
yan guang 	眼光	c=1 d=0.371173 t=12746
yan guang lai kan 	眼光來看	c=2 d=1.03422 t=13422
yan jiu 	研究	c=33 d=2.43002 t=22502
yan jiu sheng 	研究生	c=1 d=1 t=19994
yan jiu zhe 	研究者	c=1 d=1 t=20126
yan jiu zhong 	研究中	c=1 d=1 t=21661
yan kan zhe 	眼看着	c=1 d=1 t=14889
yan ke 	嚴苛	c=1 d=1 t=13904
yan kong 	演孔	c=1 d=1 t=15272
yan niu 	演牛	c=1 d=1 t=20870
yan su 	嚴肅	c=1 d=1 t=7895
yan tie lun 	鹽鐵論	c=3 d=1.77646 t=13377
yan tie lun kai 	鹽鐵論開	c=1 d=1 t=11752
yan wen 	衍文	c=1 d=1 t=9496
yan xia zhi yi 	言下之意	c=1 d=1 t=19248
yan xing jun fa 	嚴刑峻法	c=2 d=1.94649 t=12497
yan xu 	延續	c=1 d=1 t=12450
yan yi 	演繹	c=1 d=1 t=19226
yan yi 	演義	c=1 d=1 t=19227
yan yuan 	顏淵	c=1 d=1 t=15904
yan yun 	煙雲	c=1 d=1 t=11786
yan zheng 	驗證	c=3 d=1 t=21585
yan zheng ma 	驗證碼	c=2 d=1 t=17041
yan zhi you li 	言之有理	c=1 d=1 t=18405
yan zhong 	嚴重	c=3 d=1 t=13841
yang ban 	樣板	c=1 d=1 t=12519
yang ge 	秧歌	c=6 d=0.100005 t=6755
yang le 	養了	c=0 d=0.1 t=3492
yang lian 	養廉	c=1 d=1 t=11004
yang rou 	羊肉	c=1 d=1 t=4168
yang zhou 	揚州	c=1 d=1 t=12536
yang zhu 	楊朱	c=1 d=1 t=15012
yang zi 	樣子	c=2 d=1 t=13728
yao 	繇	c=1 d=1 t=19101
yao 	要	c=30 d=1.00021 t=21552
yao ba 	要把	c=1 d=1 t=7514
yao bi 	要比	c=2 d=1 t=20365
yao bu 	要不	c=1 d=1 t=5826
yao cong 	要從	c=1 d=1 t=18736
yao kong qi 	遙控器	c=1 d=1 t=21716
yao lai 	要來	c=1 d=1 t=309
yao me 	要麼	c=4 d=1.98583 t=16519
yao pin 	藥品	c=1 d=1 t=1313
yao qiu 	要求	c=3 d=1 t=20739
yao shi 	要是	c=3 d=1.00026 t=7135
yao shuo 	要說	c=1 d=1 t=9386
yao song 	要送	c=1 d=1 t=302
yao teng 	腰疼	c=1 d=1 t=21732
yao yao 	搖搖	c=0 d=0.1 t=12209
yao yao yu zhou 	搖搖宇宙	c=1 d=1 t=12210
yao yao yu zhui 	搖搖欲墜	c=1 d=1 t=12315
yao yong 	要用	c=3 d=1 t=17534
yao zai 	要在	c=1 d=1 t=13426
yao zai zhe 	要在這	c=1 d=1 t=16649
yao zuo 	要做	c=1 d=1 t=699
ye 	也	c=90 d=1.45196 t=22239
ye 	夜	c=4 d=2.86655 t=18149
ye 	業	c=1 d=1 t=2140
ye 	爺	c=4 d=1.58988 t=19086
ye 	野	c=5 d=1 t=19518
ye ba 	也把	c=1 d=1 t=13567
ye bing fei 	也並非	c=1 d=1 t=20341
ye bu cuo 	也不錯	c=2 d=1 t=6461
ye bu neng 	也不能	c=1 d=1 t=8581
ye bu rong yi 	也不容易	c=1 d=1 t=12070
ye bu shi 	也不是	c=3 d=1.11824 t=19693
ye dui 	也對	c=1 d=1 t=19658
ye gou 	也夠	c=0 d=0.1 t=3481
ye gou le 	也夠了	c=1 d=1 t=3482
ye he 	也和	c=1 d=1 t=18709
ye he 	野合	c=1 d=1 t=15158
ye hen 	也很	c=0 d=0.1 t=19194
ye hen you 	也很有	c=1 d=1 t=19195
ye hui 	也會	c=4 d=1.0302 t=22494
ye jiu 	也就	c=1 d=1 t=871
ye jiu shi 	也就是	c=17 d=1.1343 t=22269
ye ke yi 	也可以	c=13 d=1.00025 t=22184
ye ke yi shuo 	也可以說	c=1 d=1 t=17442
ye man 	野蠻	c=1 d=1 t=3900
ye mei 	也沒	c=2 d=1 t=17294
ye mei sha 	也沒啥	c=1 d=1 t=1685
ye mei shen me 	也沒什麼	c=1 d=1 t=5648
ye mei you 	也沒有	c=4 d=1 t=22675
ye mei zhuan 	也沒賺	c=1 d=1 t=7147
ye mian 	頁面	c=1 d=1 t=17958
ye neng 	也能	c=1 d=0.1 t=22411
ye neng kan chu lai 	也能看出來	c=1 d=1 t=22412
ye neng yong 	也能用	c=1 d=1 t=556
ye shi 	也是	c=25 d=2.09805 t=22527
ye su 	耶穌	c=3 d=1.96394 t=15249
ye su ji du 	耶穌基督	c=1 d=1 t=15885
ye suan 	也算	c=2 d=1 t=15507
ye suan shi 	也算是	c=1 d=1 t=5097
ye wu 	業務	c=1 d=1 t=19874
ye xin 	野心	c=0 d=0.1 t=12937
ye xin zhi wai 	野心之外	c=1 d=1 t=12938
ye xing 	也行	c=1 d=0.100012 t=2757
ye yan 	夜宴	c=1 d=1 t=16974
ye yao 	也要	c=1 d=1 t=4712
ye you 	也有	c=5 d=1.25907 t=20331
ye you cuo 	也有錯	c=1 d=1 t=13889
ye you hen duo 	也有很多	c=1 d=1 t=20121
ye yu shi jian 	業餘時間	c=1 d=1 t=6841
yi 	一	c=10 d=0.364391 t=17083
yi 	以	c=28 d=1.16329 t=21671
yi 	易	c=1 d=1 t=13635
yi 	疑	c=1 d=1 t=9494
yi 	翼	c=1 d=1 t=19556
yi 	裔	c=1 d=1 t=6770
yi 	逸	c=2 d=1 t=14718
yi ang 	以昂	c=1 d=1 t=18908
yi ba 	一把	c=2 d=1.13738 t=6331
yi ban 	一般	c=13 d=0.183576 t=20595
yi ban dou shi 	一般都是	c=1 d=1 t=19390
yi ban hua 	一般化	c=1 d=1 t=9754
yi ban jun heng 	一般均衡	c=3 d=1.67372 t=12045
yi ban lai 	一般來	c=1 d=1 t=20596
yi ban lai shuo 	一般來說	c=1 d=1 t=6713
yi ban yi yan 	一板一眼	c=1 d=1 t=657
yi ben shu 	一本書	c=1 d=1 t=14120
yi bian 	一邊	c=1 d=0.1 t=15159
yi bian qu ba 	一邊去吧	c=1 d=1 t=15160
yi bian yu 	以便於	c=2 d=1.00014 t=17815
yi biao tang tang 	儀表堂堂	c=1 d=1 t=18995
yi bu 	一部	c=2 d=1.00436 t=15357
yi bu bu 	一步步	c=1 d=1 t=16544
yi bu fen 	一部分	c=4 d=1 t=20170
yi cang 	義倉	c=1 d=1 t=13850
yi chang 	異常	c=6 d=1 t=12952
yi chuan 	遺傳	c=1 d=1 t=18999
yi ci 	一次	c=4 d=0.1 t=19949
yi ci 	以此	c=1 d=1 t=21583
yi ci lei tui 	以此類推	c=1 d=1 t=8991
yi dai 	一代	c=1 d=0.1 t=18502
yi dai yi dai 	一代一代	c=1 d=1 t=18503
yi dan 	一旦	c=1 d=1 t=8656
yi dan hua 	一淡化	c=1 d=1 t=16521
yi dian 	一點	c=8 d=1 t=21472
yi dian dian 	一點點	c=1 d=1 t=4496
yi dian ye bu 	一點也不	c=1 d=1 t=17559
yi dian yi dian 	一點一點	c=1 d=1 t=4750
yi ding 	一定	c=6 d=0.1 t=18992
yi ding cheng du 	一定程度	c=2 d=1 t=21292
yi ding dian 	一丁點	c=1 d=1 t=19055
yi ding hui 	一定會	c=0 d=0.1 t=248
yi ding hui xi huan 	一定會喜歡	c=1 d=1 t=249
yi ding yao 	一定要	c=3 d=1 t=9339
yi ding yao song 	一定要送	c=1 d=1 t=286
yi dong dao 	移動到	c=1 d=1 t=7625
yi duan 	一段	c=2 d=1 t=8180
yi duan hua 	一段話	c=2 d=1.27804 t=16778
yi duan shi jian 	一段時間	c=1 d=1 t=7114
yi duo hua 	一朵花	c=1 d=1 t=2948
yi fa 	已發	c=1 d=1 t=16757
yi fang 	一方	c=5 d=1.36701 t=11227
yi fang 	乙方	c=1 d=1 t=10745
yi fen 	一份	c=0 d=0.1 t=7054
yi fu 	一副	c=0 d=0.1 t=235
yi fu 	衣服	c=0 d=0.1 t=6430
yi fu jian pan 	一副鍵盤	c=1 d=1 t=236
yi fu shou shi 	衣服首飾	c=1 d=1 t=6431
yi gan 	一干	c=1 d=1 t=7836
yi ge 	一個	c=221 d=3.07139 t=22567
yi ge dui xiang 	一個對象	c=2 d=1 t=6721
yi ge ge 	一個個	c=1 d=1 t=21229
yi ge li zi 	一個例子	c=1 d=1 t=14898
yi ge ren 	一個人	c=2 d=0.1 t=19283
yi ge ren shen me 	一個人什麼	c=1 d=1 t=19284
yi ge ren yong 	一個人用	c=1 d=1 t=5579
yi ge yue 	一個月	c=3 d=1.97531 t=11722
yi gen 	一根	c=1 d=1 t=9463
yi guan 	衣冠	c=1 d=1 t=13009
yi guo 	一國	c=2 d=1 t=9939
yi hang 	一行	c=2 d=1.00312 t=1215
yi hou 	以後	c=4 d=0.137331 t=16084
yi hou zai shuo 	以後再說	c=1 d=1 t=16085
yi hui 	一會	c=2 d=1.00278 t=5917
yi huo 	異或	c=11 d=1 t=14323
yi ji 	一級	c=1 d=1 t=11356
yi ji 	以及	c=4 d=1.12682 t=20899
yi jian 	意見	c=1 d=1 t=9362
yi jing 	已經	c=26 d=1 t=22401
yi jing 	易經	c=2 d=1.23457 t=16368
yi jing shen ru 	已經深入	c=1 d=1 t=18514
yi jing shen ru ren xin 	已經深入人心	c=1 d=1 t=18484
yi jing shi 	已經是	c=1 d=1 t=6582
yi jing you 	已經有	c=1 d=1 t=19036
yi ju 	一句	c=0 d=0.197531 t=14612
yi ju hua 	一句話	c=0 d=0.1 t=15344
yi kai shi 	一開始	c=1 d=1 t=602
yi kan 	一看	c=0 d=0.1 t=4490
yi kan jiu shi 	一看就是	c=1 d=1 t=4491
yi kou qi 	一口氣	c=1 d=1 t=5188
yi kuai 	一塊	c=1 d=1 t=232
yi lai 	一來	c=2 d=1.74826 t=18766
yi lai 	以來	c=2 d=1.04619 t=13093
yi lai 	依賴	c=2 d=1 t=13021
yi lai yu 	依賴於	c=3 d=1.00082 t=9622
yi lei 	異類	c=2 d=1.99005 t=17154
yi liang 	一輛	c=0 d=0.1 t=4912
yi liang ge 	一輛個	c=2 d=1 t=15194
yi mai 	一脈	c=1 d=1 t=15316
yi men 	一門	c=0 d=0.1 t=2136
yi men ke 	一門課	c=1 d=1 t=2137
yi mu 	一幕	c=1 d=1 t=9422
yi nian duo 	一年多	c=1 d=1 t=5637
yi nian lai 	一年來	c=1 d=1 t=8358
yi nian qian 	一年前	c=1 d=1 t=17513
yi pian 	一篇	c=2 d=1 t=13731
yi pian wen zhang 	一篇文章	c=1 d=1 t=14123
yi ping 	一瓶	c=1 d=1 t=20017
yi qi 	一起	c=4 d=1.5627 t=20647
yi qi bei fen 	一起備份	c=1 d=1 t=5002
yi qian 	一千	c=2 d=0.1 t=13859
yi qian 	以前	c=10 d=1 t=10788
yi qian nian 	一千年	c=1 d=1 t=13860
yi qian ye kan guo yi xie 	以前也看過一些	c=1 d=1 t=3605
yi qie 	一切	c=5 d=0.1 t=22533
yi ran 	依然	c=7 d=1.02622 t=19606
yi ran 	已然	c=1 d=1 t=10774
yi shang 	以上	c=8 d=0.10985 t=21106
yi sheng 	一生	c=1 d=1 t=16033
yi sheng 	醫生	c=1 d=1 t=16032
yi shi 	意識	c=1 d=1 t=22315
yi shi jian 	一時間	c=1 d=1.0093 t=13304
yi shi jian zhu hou 	一時間諸侯	c=1 d=1 t=12830
yi shou 	一手	c=2 d=1.99005 t=19664
yi shou zi liao 	一手資料	c=1 d=1 t=14420
yi shu 	藝術	c=1 d=1 t=19524
yi si 	意思	c=15 d=1.47961 t=16774
yi si lan 	伊斯蘭	c=1 d=1 t=16265
yi tang 	一趟	c=1 d=1 t=12468
yi tang zi 	一堂子	c=1 d=1 t=12473
yi tao 	一套	c=1 d=1 t=14069
yi ti 	一體	c=1 d=1 t=6487
yi tian 	一天	c=2 d=1 t=17973
yi tiao 	一條	c=2 d=1.79453 t=9257
yi tong 	異同	c=2 d=1 t=20810
yi tong tian xia 	一統天下	c=1 d=1 t=13211
yi wan 	一碗	c=1 d=1 t=9780
yi wan 	一萬	c=1 d=0.1 t=17276
yi wan hang 	一萬行	c=2 d=1.5975 t=17380
yi wan nian lai 	一萬年來	c=1 d=1 t=4214
yi wang 	以往	c=1 d=1 t=21542
yi wei 	以爲	c=3 d=1 t=19481
yi wei zhe 	意味着	c=5 d=1.86936 t=15610
yi wu 	義務	c=1 d=1 t=20035
yi xi lie 	一系列	c=2 d=1.00004 t=12849
yi xia 	一下	c=12 d=0.100018 t=19008
yi xia 	以下	c=15 d=3.6486 t=20100
yi xia er 	一下兒	c=1 d=1 t=22346
yi xia wen ti 	以下問題	c=1 d=1 t=19734
yi xiang 	意向	c=5 d=1.34647 t=22456
yi xie 	一些	c=26 d=2.7103 t=22347
yi xie gong fu 	一些功夫	c=1 d=1 t=19306
yi yan nan jin 	一言難盡	c=1 d=1 t=4828
yi yang 	一樣	c=15 d=1.00335 t=22644
yi ye 	一夜	c=0 d=0.1 t=7593
yi ye 	一頁	c=1 d=1 t=7595
yi yi 	意義	c=12 d=1.00878 t=22094
yi yi 	異議	c=1 d=1 t=14237
yi yi de 	意義的	c=1 d=1 t=15728
yi yi shang 	以以上	c=1 d=0.107263 t=22092
yi yin 	伊尹	c=1 d=1 t=16145
yi you 	已有	c=1 d=1 t=21874
yi yu 	易於	c=0 d=0.1 t=15900
yi yu zhi bei 	易於之輩	c=1 d=1 t=15901
yi yuan 	一員	c=1 d=1 t=15007
yi zhan 	一戰	c=1 d=1 t=11902
